-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.499,  0.346
-183.772, 80.139, 0.556,  0.379
-183.759, 80.118, 0.641,  0.412
-183.743, 80.095, 0.719,  0.445
-183.725, 80.068, 0.880,  0.478
-183.706, 80.035, 1.022,  0.511
-183.687, 79.998, 1.172,  0.544
-183.669, 79.957, 1.290,  0.577
-183.652, 79.913, 1.371,  0.610
-183.637, 79.867, 1.422,  0.643
-183.622, 79.821, 1.455,  0.676
-183.609, 79.774, 1.472,  0.709
-183.596, 79.726, 1.475,  0.742
-183.585, 79.679, 1.469,  0.775
-183.574, 79.632, 1.454,  0.808
-183.564, 79.585, 1.434,  0.841
-183.555, 79.540, 1.409,  0.874
-183.547, 79.495, 1.384,  0.907
-183.539, 79.451, 1.357,  0.940
-183.532, 79.407, 1.332,  0.973
-183.526, 79.364, 1.309,  1.006
-183.519, 79.322, 1.288,  1.039
-183.513, 79.280, 1.270,  1.072
-183.507, 79.239, 1.256,  1.105
-183.502, 79.198, 1.246,  1.138
-183.497, 79.157, 1.239,  1.171
-183.491, 79.116, 1.237,  1.204
-183.486, 79.075, 1.237,  1.237
-183.481, 79.034, 1.241,  1.270
-183.477, 78.993, 1.246,  1.303
-183.473, 78.951, 1.255,  1.336
-183.469, 78.909, 1.265,  1.369
-183.465, 78.867, 1.277,  1.402
-183.461, 78.824, 1.290,  1.435
-183.457, 78.781, 1.303,  1.468
-183.453, 78.737, 1.316,  1.501
-183.449, 78.693, 1.328,  1.534
-183.445, 78.648, 1.339,  1.567
-183.440, 78.604, 1.350,  1.600
-183.436, 78.559, 1.359,  1.633
-183.432, 78.513, 1.367,  1.666
-183.427, 78.468, 1.374,  1.699
-183.423, 78.422, 1.380,  1.732
