The Input Data to the Controller and Out From Carla
x, y, yaw,v,t
-183.139450,75.136993,-1.483855,1.684407,3.877000
-183.134689,75.080910,-1.483940,1.689805,3.910000
-183.129883,75.024651,-1.484013,1.695211,3.943000
-183.125061,74.968216,-1.484078,1.700617,3.976000
-183.121109,74.911545,-1.484766,1.705396,4.009000
-183.117157,74.854683,-1.485520,1.710834,4.042000
-183.113098,74.797653,-1.486173,1.716390,4.075000
-183.108978,74.740440,-1.486719,1.721989,4.108000
-183.104721,74.683052,-1.487171,1.727622,4.141000
-183.100388,74.625481,-1.487545,1.733271,4.174000
-183.095978,74.567726,-1.487853,1.738916,4.207000
-183.091507,74.509789,-1.488106,1.744564,4.240000
-183.086975,74.451668,-1.488313,1.750204,4.273000
-183.082397,74.393364,-1.488482,1.755838,4.306000
-183.077744,74.334877,-1.488620,1.761500,4.339000
-183.073074,74.276207,-1.488732,1.767172,4.372000
-183.068375,74.217339,-1.488823,1.772834,4.405000
-183.063629,74.158287,-1.488896,1.778494,4.438000
-183.058868,74.099052,-1.488955,1.784160,4.471000
-183.054031,74.039635,-1.489002,1.789839,4.504000
-183.049210,73.980026,-1.489039,1.795533,4.537000
-183.045242,73.920166,-1.489698,1.800675,4.570000
-183.041290,73.860123,-1.490421,1.806404,4.603000
-183.037216,73.799896,-1.491037,1.812257,4.636000
-183.033020,73.739479,-1.491541,1.818142,4.669000
-183.028763,73.678864,-1.491948,1.824041,4.702000
-183.024384,73.618073,-1.492276,1.829944,4.735000
-183.019958,73.557083,-1.492538,1.835847,4.768000
-183.015442,73.495903,-1.492746,1.841764,4.801000
-183.010880,73.434525,-1.492910,1.847693,4.834000
-183.006241,73.372955,-1.493038,1.853623,4.867000
-183.001572,73.311195,-1.493138,1.859577,4.900000
-182.996857,73.249237,-1.493215,1.865545,4.933000
-182.992111,73.187080,-1.493272,1.871514,4.966000
-182.987320,73.124718,-1.493314,1.877495,4.999000
-182.982513,73.062172,-1.493344,1.883506,5.032000
-182.977676,72.999420,-1.493364,1.889527,5.065000
-182.972809,72.936470,-1.493376,1.895546,5.098000
-182.968811,72.873268,-1.494014,1.901063,5.131000
-182.964813,72.809868,-1.494713,1.907110,5.164000
-182.960724,72.746269,-1.495302,1.913254,5.197000
-182.956497,72.682472,-1.495773,1.919420,5.230000
-182.952164,72.618477,-1.496146,1.925603,5.263000
-182.947769,72.554276,-1.496439,1.931799,5.296000
-182.943283,72.489883,-1.496666,1.938013,5.329000
-182.938721,72.425285,-1.496841,1.944240,5.362000
-182.934113,72.360474,-1.496973,1.950489,5.395000
-182.929443,72.295464,-1.497073,1.956746,5.428000
-182.924744,72.230255,-1.497146,1.963004,5.461000
-182.919983,72.164833,-1.497198,1.969267,5.494000
-182.915192,72.099205,-1.497233,1.975530,5.527000
-182.910370,72.033371,-1.497255,1.981795,5.560000
-182.905548,71.967331,-1.497267,1.988058,5.593000
-182.900665,71.901085,-1.497271,1.994344,5.626000
-182.896652,71.834579,-1.497899,2.000190,5.659000
-182.892654,71.767868,-1.498586,2.006511,5.692000
-182.888550,71.700943,-1.499156,2.012940,5.725000
-182.884308,71.633804,-1.499604,2.019400,5.758000
-182.879959,71.566460,-1.499951,2.025860,5.791000
-182.875519,71.498917,-1.500218,2.032334,5.824000
-182.871017,71.431160,-1.500418,2.038832,5.857000
-182.866425,71.363190,-1.500568,2.045353,5.890000
-182.861786,71.294998,-1.500678,2.051893,5.923000
-182.857101,71.226593,-1.500757,2.058459,5.956000
-182.852371,71.157974,-1.500811,2.065028,5.989000
-182.847595,71.089142,-1.500846,2.071581,6.022000
-182.842789,71.020096,-1.500867,2.078128,6.055000
-182.837967,70.950829,-1.500876,2.084681,6.088000
-182.833099,70.881340,-1.500877,2.091246,6.121000
-182.829102,70.811584,-1.501497,2.097411,6.154000
-182.825119,70.741615,-1.502173,2.104036,6.187000
-182.820999,70.671425,-1.502726,2.110744,6.220000
-182.816757,70.601021,-1.503154,2.117479,6.253000
-182.812378,70.530403,-1.503478,2.124227,6.286000
-182.807907,70.459557,-1.503721,2.130981,6.319000
-182.803375,70.388496,-1.503900,2.137762,6.352000
-182.798782,70.317215,-1.504030,2.144589,6.385000
-182.794144,70.245705,-1.504122,2.151439,6.418000
-182.789444,70.173965,-1.504184,2.158301,6.451000
-182.784698,70.102005,-1.504224,2.165161,6.484000
-182.779922,70.029816,-1.504247,2.172035,6.517000
-182.775116,69.957397,-1.504257,2.178942,6.550000
-182.770294,69.884758,-1.504258,2.185860,6.583000
-182.766327,69.811829,-1.504869,2.192388,6.616000
-182.762314,69.738678,-1.505534,2.199357,6.649000
-182.758194,69.665298,-1.506071,2.206383,6.682000
-182.753937,69.591690,-1.506480,2.213412,6.715000
-182.749588,69.517868,-1.506783,2.220445,6.748000
-182.745132,69.443794,-1.507005,2.227491,6.781000
-182.740601,69.369507,-1.507165,2.234548,6.814000
-182.736008,69.294991,-1.507277,2.241623,6.847000
-182.731369,69.220238,-1.507353,2.248691,6.880000
-182.726669,69.145248,-1.507402,2.255757,6.913000
-182.721954,69.070023,-1.507431,2.262856,6.946000
-182.717209,68.994560,-1.507443,2.269987,6.979000
-182.712418,68.918869,-1.507446,2.277141,7.012000
-182.707596,68.842934,-1.507439,2.284315,7.045000
-182.703613,68.766716,-1.508040,2.291114,7.078000
-182.699600,68.690262,-1.508692,2.298369,7.111000
-182.695511,68.613571,-1.509213,2.305659,7.144000
-182.691238,68.536644,-1.509603,2.312940,7.177000
-182.686890,68.459480,-1.509886,2.320234,7.210000
-182.682434,68.382080,-1.510088,2.327528,7.243000
-182.677933,68.304443,-1.510230,2.334811,7.276000
-182.673340,68.226570,-1.510326,2.342116,7.309000
-182.668701,68.148453,-1.510387,2.349442,7.342000
-182.664017,68.070091,-1.510424,2.356770,7.375000
-182.659286,67.991486,-1.510443,2.364116,7.408000
-182.654526,67.912643,-1.510449,2.371490,7.441000
-182.649734,67.833549,-1.510445,2.378901,7.474000
-182.645798,67.754166,-1.511039,2.385967,7.507000
-182.641830,67.674538,-1.511679,2.393533,7.540000
-182.637726,67.594658,-1.512186,2.401152,7.573000
-182.633514,67.514534,-1.512558,2.408783,7.606000
-182.629150,67.434166,-1.512822,2.416423,7.639000
-182.624725,67.353546,-1.513007,2.424068,7.672000
-182.620224,67.272667,-1.513133,2.431717,7.705000
-182.615662,67.191544,-1.513215,2.439381,7.738000
-182.611053,67.110168,-1.513265,2.447072,7.771000
-182.606400,67.028542,-1.513293,2.454778,7.804000
-182.601715,66.946648,-1.513304,2.462487,7.837000
-182.597000,66.864502,-1.513304,2.470191,7.870000
-182.592255,66.782104,-1.513295,2.477912,7.903000
-182.587479,66.699455,-1.513281,2.485669,7.936000
-182.582672,66.616539,-1.513262,2.493443,7.969000
-182.577866,66.533371,-1.513242,2.501244,8.002000
-182.573029,66.449928,-1.513220,2.509084,8.035000
